ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Hydroponics Definition,,FOUND
2,History of Hydroponics,1,FOUND
3,William Frederick Gericke,2,FOUND
4,Soilless Growing Systems,1,FOUND
5,Soil vs Soilless Comparison,4,FOUND
6,Water as Growth Medium,4,FOUND
7,Controlled Environment Ag,1|4,FOUND
8,Indoor Growing Basics,7,FOUND
9,Plant Growth Fundamentals,,FOUND
10,Cell Biology Basics,,FOUND
11,Photosynthesis Overview,10|9,FOUND
12,Cellular Respiration Overview,10|9,FOUND
13,Plant Life Cycle,9,FOUND
14,Seed Germination,13,FOUND
15,Seedling Development,14,FOUND
16,Vegetative Growth Stage,15,FOUND
17,Flowering and Fruiting Stage,16,FOUND
18,Harvest and Post-Harvest,17,FOUND
19,Crop Rotation Planning,13|4,FOUND
20,Grow Room Layout,8,FOUND
21,Space Utilization,20,FOUND
22,Year-Round Production,7|19,FOUND
23,Food Security Context,1|22,FOUND
24,Urban Agriculture Definition,7|23,FOUND
25,Hydroponics vs Aquaponics,1,FOUND
26,Root Anatomy,10,PHYS
27,Root Hair Cells,26,PHYS
28,Root Zone Oxygen Requirement,26,PHYS
29,Nutrient Uptake Mechanisms,26|27,PHYS
30,Passive Diffusion,29,PHYS
31,Active Transport,29|10,PHYS
32,Osmosis and Water Potential,10|6,PHYS
33,Transpiration,32|26,PHYS
34,Xylem Transport,26|33,PHYS
35,Phloem Transport,26|11,PHYS
36,Stomata Function,33|11,PHYS
37,Leaf Structure,10,PHYS
38,Chloroplast Function,10|11,PHYS
39,Photosynthesis Light Reactions,38|11,PHYS
40,Calvin Cycle,39,PHYS
41,Chlorophyll and Pigments,38,PHYS
42,Root Exudates,26|29,PHYS
43,Rhizosphere Chemistry,42,PHYS
44,Cation Exchange at Root Surface,29|30|31,PHYS
45,Ion Concentration Gradients,30|31,PHYS
46,Root Adaptation to Hydroponics,26|4,PHYS
47,Dissolved Oxygen in Root Zone,28|6,PHYS
48,Root Rot Physiology,26|28,PHYS
49,Plant Stress Responses,9|10,PHYS
50,Ethylene as Stress Hormone,49,PHYS
51,Nutrient Deficiency Physiology,29|45,PHYS
52,Nutrient Toxicity Effects,29|45,PHYS
53,Tip Burn in Lettuce,51,PHYS
54,Blossom End Rot,51,PHYS
55,Interveinal Chlorosis,51,PHYS
56,Purple Stem Syndrome,51,PHYS
57,Necrosis Patterns,51|52,PHYS
58,Growth Rate Measurement,16|9,PHYS
59,Biomass Accumulation,58,PHYS
60,Fresh Weight vs Dry Weight,59,PHYS
61,Essential Plant Nutrients,29,NUTR
62,Macronutrient Definition,61,NUTR
63,Nitrogen Functions in Plants,62,NUTR
64,Phosphorus Functions in Plants,62,NUTR
65,Potassium Functions in Plants,62,NUTR
66,Calcium Functions in Plants,62,NUTR
67,Magnesium Functions in Plants,62,NUTR
68,Sulfur Functions in Plants,62,NUTR
69,Micronutrient Definition,61,NUTR
70,Iron in Plant Nutrition,69,NUTR
71,Manganese in Plant Nutrition,69,NUTR
72,Zinc in Plant Nutrition,69,NUTR
